Table 1.10. Gross Domestic Income by Type of Income
Table 1.10. Gross Domestic Income by Type of Income
"Last Revised on: February 20, 2026 - Next Release Date March 13, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"    Private enterprises",35.2,28.3,20.5,13.1,12.1,16.3,20.9,23.4,26.4,22.8,25.1,29.5,40.1,52.9,62.3,63.5,60.7,62.6,67.6,80.0,73.8,84.9,96.4,96.7,98.1,98.9,112.6,114.4,117.3,117.0,129.6,130.5,136.7,149.1,158.5,170.7,189.6,204.1,206.9,220.7,227.2,222.2,247.1,279.2,317.8,324.0,359.0,405.3,457.1,524.6,562.3,576.2,670.0,682.5,761.8,913.9,968.6,969.6,1037.5,1149.7,1215.9,1234.9,1241.9,1309.6,1401.1,1556.8,1683.4,1856.4,2018.9,2113.8,2206.4,2306.7,2378.2,2483.2,2637.6,2872.1,3169.3,3470.3,3350.4,3170.6,3194.0,3667.4,3889.8,4192.3,4272.8,4498.6,4542.1,4521.6,4660.4,4923.6,5098.4
11,"        Net interest and miscellaneous payments, domestic industries",4.0,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.8,2.3,2.4,2.7,3.0,3.4,3.9,4.4,5.2,5.7,6.4,7.6,9.0,9.2,10.1,11.7,13.4,14.4,16.5,18.6,21.3,24.3,26.5,33.2,40.2,44.4,49.0,58.0,73.6,85.3,87.1,101.9,116.0,139.4,184.0,233.4,273.0,286.6,331.1,352.3,374.8,378.3,409.7,463.4,471.1,438.0,401.0,389.9,389.6,408.7,415.9,455.5,511.8,518.8,603.7,627.1,550.3,518.8,459.0,574.1,702.1,813.5,851.8,706.2,610.3,574.9,610.0,552.7,586.7,661.2,666.7,720.5,756.4,754.5
12,"        Business current transfer payments (net)",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3.0,3.5,3.4,3.6,4.2,4.8,4.4,4.2,4.8,5.7,6.8,9.0,9.1,8.1,10.4,12.8,14.0,16.9,19.3,21.7,29.2,34.1,36.0,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45.0,52.6,50.1,64.1,67.7,85.2,99.2,80.8,76.0,82.0,90.6,79.8,97.2,112.8,125.1,126.3,130.1,95.5,107.3,135.5,153.9,162.5,142.9,155.8,161.4
13,"        Proprietors' income with inventory valuation and capital consumption adjustments",14.0,10.9,8.3,5.0,5.3,7.0,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43.0,42.0,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428.0,456.6,481.2,543.8,584.0,640.3,696.4,753.6,831.1,870.1,897.5,962.9,979.1,1050.9,995.4,960.3,938.1,1108.5,1228.3,1299.9,1351.7,1370.0,1347.7,1349.2,1428.6,1495.3,1555.8
14,"        Rental income of persons with capital consumption adjustment",6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3.0,3.5,3.7,3.8,4.4,5.5,6.0,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12.0,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18.0,18.7,18.8,19.3,19.9,20.3,20.1,20.3,20.7,21.8,22.7,23.1,23.2,22.3,20.3,15.9,16.5,16.1,19.0,23.8,23.8,24.4,24.7,26.2,18.3,16.6,22.5,21.5,28.2,38.6,60.6,90.1,113.7,124.9,142.5,147.1,165.2,178.5,183.5,202.4,208.4,227.1,242.8,221.1,181.1,186.3,290.3,347.6,433.7,506.5,534.5,578.7,598.5,601.4,618.7,642.0,671.5,688.4
15,"        Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",10.6,7.4,3.0,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46.0,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.6,187.7,216.2,195.2,242.8,300.7,315.0,284.1,322.8,359.3,351.6,343.2,372.3,408.2,453.8,556.1,623.7,701.6,782.3,732.4,745.0,680.7,618.4,773.6,918.1,1125.4,1304.3,1456.4,1258.0,955.4,1076.9,1388.7,1449.9,1652.4,1682.3,1808.0,1777.9,1724.4,1726.3,1844.6,1938.3
16,"            Taxes on corporate income",1.4,0.8,0.5,0.4,0.5,0.7,1.0,1.4,1.5,1.0,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.2,12.3,10.0,17.7,22.3,19.1,19.9,17.3,21.8,21.6,20.9,18.4,22.8,21.9,22.2,23.3,25.5,26.6,29.8,32.2,31.0,37.2,37.0,31.3,34.8,39.1,45.6,47.2,46.3,59.4,68.5,77.9,80.7,75.5,70.3,51.3,66.4,81.5,81.6,91.9,112.7,124.3,124.4,121.8,117.8,131.9,155.0,172.7,194.4,211.4,224.8,221.8,227.4,233.4,170.1,160.7,213.8,278.5,379.7,430.1,391.8,255.9,203.9,272.3,280.8,334.6,362.4,406.9,396.1,376.0,297.2,297.4,297.2
17,"            Profits after tax with inventory valuation and capital consumption adjustments",9.2,6.5,2.5,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.8,7.7,9.0,10.5,11.6,9.4,8.4,12.0,17.9,17.9,17.1,17.2,18.7,18.6,20.2,26.0,25.2,25.2,22.9,30.0,29.7,30.4,37.0,40.9,46.7,54.8,59.4,58.1,58.9,54.9,47.9,58.0,68.6,72.9,61.0,78.0,98.4,118.2,137.8,133.9,112.2,145.9,143.9,176.4,219.2,233.4,192.2,210.1,235.0,227.2,221.4,254.5,276.3,298.7,383.5,429.3,490.2,557.6,510.6,517.7,447.3,448.2,612.9,704.4,846.9,924.6,1026.2,866.2,699.5,873.0,1116.4,1169.1,1317.8,1319.9,1401.1,1381.8,1348.4,1429.2,1547.2,1641.1
18,"                Net dividends",5.6,5.3,4.1,2.6,2.0,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4.0,4.2,4.3,4.4,5.1,5.7,6.4,6.6,8.1,7.7,7.8,8.1,8.1,9.2,9.9,10.4,10.4,11.6,12.3,12.2,13.2,14.4,16.6,18.2,19.5,20.2,22.6,23.4,23.9,23.7,25.2,27.4,29.0,31.8,35.9,39.6,46.6,51.0,59.3,68.4,72.1,84.2,89.7,99.9,103.2,103.2,113.6,147.7,168.6,177.8,178.5,201.1,220.4,250.8,283.5,312.7,344.4,333.7,383.7,362.1,379.4,423.0,517.5,318.4,637.9,677.9,660.9,516.6,514.5,633.1,765.4,858.9,898.3,965.9,953.7,1043.5,419.0,937.8
19,"                Undistributed corporate profits with inventory valuation and capital consumption adjustments",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.7,0.8,1.2,3.0,3.5,5.0,6.2,7.3,5.0,3.3,6.3,11.5,11.3,9.0,9.5,10.9,10.5,12.0,16.9,15.4,14.8,12.5,18.4,17.4,18.2,23.8,26.5,30.1,36.6,39.9,37.9,36.3,31.4,24.0,34.3,43.4,45.4,32.0,46.2,62.4,78.5,91.2,82.9,52.9,77.5,71.8,92.2,129.5,133.5,89.0,106.9,121.4,79.5,52.8,76.7,97.8,97.6,163.1,178.5,206.8,244.8,166.2,184.0,63.6,86.2,233.5,281.4,329.4,606.2,388.3,188.4,38.7,356.4,601.9,536.0,552.4,461.0,502.8,415.9,394.6,385.7,1128.2,703.3
20,"    Current surplus of government enterprises1",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.5,0.5,0.3,0.4,0.8,0.9,0.8,0.4,0.3,0.5,0.2,-1.0,-1.5,-0.9,-2.0,-2.4,-4.1,-2.4,-3.0,-2.4,-2.7,-4.5,-4.7,-3.4,-1.9,-0.9,1.9,2.5,2.7,5.6,7.3,3.7,8.2,10.4,11.4,12.7,16.5,17.8,18.1,16.9,16.8,11.5,5.7,7.6,5.1,0.4,-3.4,-5.9,-12.9,-16.7,-14.6,-18.5,-17.8,-13.6,-13.6,-8.5,-2.8,-2.2,-4.3,-4.6,-12.1
21,Consumption of fixed capital,10.4,10.2,9.5,8.3,8.0,8.4,8.5,8.8,9.8,10.0,10.1,10.6,12.1,14.9,18.0,21.3,23.1,25.7,29.1,31.3,32.3,33.4,37.7,40.6,43.5,46.0,48.9,54.1,58.9,62.5,65.4,67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.6,113.4,124.9,136.8,148.9,161.0,178.7,206.9,238.5,260.2,289.8,327.2,373.9,428.4,487.2,537.0,562.6,598.4,640.1,685.3,730.4,784.5,838.3,888.5,932.4,960.2,1003.5,1055.6,1122.4,1175.3,1239.3,1309.7,1398.9,1511.2,1599.5,1658.0,1719.1,1821.8,1971.1,2124.2,2252.8,2359.0,2371.3,2390.4,2474.4,2575.5,2681.6,2819.7,2922.9,3008.1,3149.0,3312.6,3477.5
22,"    Private",9.4,9.2,8.6,7.5,7.0,7.3,7.3,7.5,8.4,8.6,8.6,9.0,10.0,11.2,11.5,12.0,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33.0,35.0,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.3,607.9,649.6,688.4,721.5,742.9,778.2,822.5,880.7,929.1,987.8,1052.2,1132.2,1231.5,1311.7,1361.8,1412.0,1497.1,1622.6,1751.8,1852.4,1931.9,1928.5,1933.2,1997.2,2081.9,2176.6,2301.4,2397.9,2475.6,2599.1,2737.3,2879.7
23,"    Government",1.0,1.0,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,2.1,3.7,6.5,9.3,10.6,11.4,11.4,10.5,9.7,9.1,10.0,11.1,12.1,13.0,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.9,25.1,26.4,28.1,30.2,32.8,35.5,38.6,41.3,43.5,47.2,53.7,59.7,63.7,68.7,75.1,83.1,93.5,105.3,116.6,123.8,134.9,143.7,153.7,164.1,176.6,188.6,200.1,210.9,217.4,225.3,233.1,241.7,246.2,251.6,257.6,266.7,279.7,287.8,296.2,307.1,324.7,348.4,372.3,400.3,427.0,442.8,457.2,477.2,493.6,505.0,518.3,525.1,532.5,549.9,575.3,597.8
,Addendum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"    Statistical discrepancy",0.7,-0.4,0.7,0.3,0.5,0.4,-0.2,1.2,0.0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.5,3.8,1.2,2.9,-0.3,1.7,1.3,3.4,2.6,3.8,2.9,2.1,-2.0,-0.4,0.6,0.2,-1.3,-0.9,0.0,-1.5,-0.1,0.7,5.1,3.4,3.1,1.6,5.3,9.5,7.2,6.1,7.5,13.3,20.7,19.4,23.3,45.0,44.3,37.7,8.6,56.9,41.4,54.1,79.8,43.6,2.8,67.8,95.4,92.7,115.5,155.4,139.2,92.2,57.0,10.3,-56.4,-29.3,-95.8,-116.7,-81.7,-24.2,-28.1,-57.0,-209.8,12.3,191.2,191.7,69.4,-24.3,-153.6,-29.8,-140.9,-93.0,52.9,67.9,63.4,57.0

Legend/Footnotes
"1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are not shown separately; subsidies are presented net of the current surplus of government enterprises."
